date,channel,campaign,spend,impressions,clicks,leads,opportunities,wins,revenue
2026-02-06,Email,Summer Sale,3876.67,33781,1581,69,28,7,1792.8
2026-02-06,Organic,Brand,2897.46,29130,828,136,56,25,7519.85
2026-02-06,Organic,Summer Sale,2093.07,75718,2966,415,82,25,5408.83
2026-02-06,Paid Social,Summer Sale,725.54,88460,5168,224,36,12,2497.12
2026-02-08,Email,Loyalty,2577.35,59747,2070,340,64,17,8481.72
2026-02-08,Email,New Product,1764.77,25406,236,27,6,2,670.43
2026-02-09,Email,New Product,416.84,113514,4240,333,144,55,18704.34
2026-02-09,Organic,Loyalty,2555.5,111318,5577,771,192,82,34157.01
2026-02-09,Organic,New Product,2285.46,15869,658,40,7,1,283.85
2026-02-10,Affiliate,Summer Sale,1396.22,118637,5982,451,149,79,18473.82
2026-02-11,Organic,Summer Sale,3076.45,25472,708,25,6,2,442.99
2026-02-11,Paid Search,Retargeting,2482.76,18419,147,7,1,0,0.0
2026-02-11,Paid Social,Retargeting,2315.28,69409,1529,247,53,11,3138.75
2026-02-12,Email,Summer Sale,904.95,73786,3453,120,41,13,3634.81
2026-02-13,Email,Retargeting,3255.62,101478,4402,677,126,41,17377.13
2026-02-16,Email,Brand,1677.09,69204,3821,175,39,10,3779.15
2026-02-16,Paid Social,Brand,1385.27,77792,3927,135,24,10,2652.12
2026-02-17,Paid Search,Retargeting,3141.29,98526,4348,224,84,25,7968.25
2026-02-17,Paid Social,Summer Sale,421.84,107088,1440,175,60,16,3025.34
2026-02-18,Affiliate,Retargeting,231.55,16923,702,87,37,15,4995.23
2026-02-18,Organic,Loyalty,3110.74,12883,631,105,35,14,5805.58
2026-02-19,Paid Search,Summer Sale,3262.29,42984,1154,132,35,13,2647.71
2026-02-20,Email,Loyalty,3373.03,21750,801,80,31,8,3793.31
2026-02-20,Paid Search,Retargeting,1162.21,13516,384,69,22,7,2360.85
2026-02-20,Paid Social,New Product,3122.07,79321,1731,219,67,36,7825.77
2026-02-21,Affiliate,Retargeting,584.13,80308,2550,154,45,9,3015.32
2026-02-21,Paid Search,Brand,2830.52,73100,2136,295,49,23,6334.38
2026-02-21,Paid Social,New Product,517.89,11684,114,9,3,1,220.12
2026-02-22,Email,Loyalty,3348.19,25791,387,65,14,3,1495.92
2026-02-22,Organic,Loyalty,3416.94,107006,1566,225,36,16,6796.65
2026-02-22,Paid Search,Retargeting,247.01,68780,1288,50,11,2,665.77
2026-02-23,Affiliate,New Product,764.49,38063,2195,264,77,18,5465.91
2026-02-23,Email,Brand,1785.5,102508,2918,414,165,49,17694.39
2026-02-23,Organic,Retargeting,3121.18,45461,2306,218,35,12,4463.78
2026-02-23,Paid Search,Loyalty,543.15,102974,3629,627,118,57,20110.92
2026-02-23,Paid Search,New Product,2094.21,98031,5739,321,60,21,4786.84
2026-02-24,Organic,Summer Sale,1486.7,117943,4985,404,154,60,13219.34
2026-02-24,Paid Social,New Product,830.01,88431,4233,438,195,77,18465.43
2026-02-25,Organic,New Product,2591.51,81119,1526,263,79,22,6113.03
2026-02-25,Paid Search,New Product,3766.49,25510,712,34,7,3,704.78
2026-02-26,Paid Search,Retargeting,2519.69,38059,618,101,23,11,3465.72
2026-02-27,Organic,New Product,3659.5,12394,710,36,9,2,521.06
2026-02-27,Paid Social,New Product,3977.48,57928,1484,88,21,9,2147.54
2026-02-28,Affiliate,New Product,2923.21,38385,2154,281,90,47,13669.2
2026-02-28,Email,Summer Sale,2294.31,53401,2753,187,31,7,1886.03
2026-02-28,Paid Social,Loyalty,1955.81,56984,942,144,62,20,6614.56
2026-03-01,Organic,Loyalty,2179.95,39018,2107,228,66,26,11204.54
2026-03-02,Affiliate,Brand,3163.05,43525,1013,116,30,13,4247.28
2026-03-02,Email,Retargeting,1950.97,107738,5244,219,45,20,7386.12
2026-03-03,Email,New Product,2317.82,56690,806,101,17,6,1784.4
2026-03-03,Organic,Brand,1008.22,44685,2179,358,70,31,10836.4
2026-03-04,Paid Search,Summer Sale,3886.01,62992,1368,231,54,18,4205.71
2026-03-05,Organic,New Product,2802.32,83876,4035,262,74,32,9317.88
2026-03-05,Paid Social,Summer Sale,1094.92,41877,2260,263,65,22,4126.86
2026-03-07,Email,Brand,3630.47,8641,445,16,6,2,805.06
2026-03-08,Paid Search,Summer Sale,3857.07,18321,332,17,3,0,0.0
2026-03-08,Paid Social,Loyalty,1026.4299999999998,182796,6203,668,187,56,20123.01
2026-03-10,Affiliate,New Product,2805.79,73582,4307,320,137,70,20371.57
2026-03-10,Organic,Summer Sale,2429.24,111952,5339,787,186,46,10537.11
2026-03-11,Affiliate,Retargeting,3904.98,90794,3050,145,30,13,4391.85
2026-03-12,Paid Search,Retargeting,586.5,114402,4853,607,118,63,21442.93
2026-03-12,Paid Social,Brand,3837.45,37042,1379,232,46,10,2600.79
2026-03-13,Email,New Product,841.22,107874,2345,340,55,27,8176.47
2026-03-14,Email,New Product,3408.58,65878,3181,516,210,51,15784.68
2026-03-14,Organic,Retargeting,2090.8199999999997,143132,2568,272,77,22,7822.0
2026-03-16,Paid Search,New Product,1896.47,8360,297,32,4,2,471.42
2026-03-18,Email,Summer Sale,521.03,74361,3894,207,86,40,11827.4
2026-03-18,Paid Social,Summer Sale,2856.18,36994,453,33,9,2,413.95
2026-03-19,Email,New Product,3624.62,70691,1194,211,71,37,12436.94
2026-03-19,Paid Social,New Product,1507.05,46428,663,52,12,3,679.45
2026-03-21,Affiliate,Loyalty,3993.64,72822,3709,515,143,51,23063.66
2026-03-21,Paid Search,New Product,2900.68,96050,1652,260,64,27,6918.44
2026-03-22,Paid Social,Retargeting,3183.54,61065,3296,500,169,87,25717.3
2026-03-23,Paid Social,Loyalty,3810.85,90847,3921,149,62,29,9157.52
2026-03-24,Paid Social,New Product,2673.55,14494,734,32,10,5,1128.67
2026-03-25,Affiliate,Loyalty,2503.32,31136,1370,134,41,15,6008.56
2026-03-25,Email,Brand,1724.83,56720,3084,437,120,51,18745.44
2026-03-25,Paid Social,New Product,3586.76,6401,59,4,1,0,0.0
2026-03-26,Affiliate,Retargeting,1128.9,45573,880,50,12,2,682.75
2026-03-26,Email,Retargeting,2560.37,22490,194,7,1,0,0.0
2026-03-26,Organic,Summer Sale,614.04,15255,343,28,12,2,488.41
2026-03-31,Email,Retargeting,383.95,104595,2838,221,97,36,13535.38
2026-03-31,Paid Social,Brand,1601.09,23529,242,43,6,2,569.42
2026-03-31,Paid Social,Loyalty,2283.49,7804,68,11,3,1,349.98
2026-04-01,Affiliate,Retargeting,615.18,44779,2084,356,109,30,10687.35
2026-04-03,Organic,Summer Sale,225.66,43287,2010,212,44,23,5620.37
2026-04-04,Paid Search,Summer Sale,3456.7799999999997,146969,4342,169,53,22,4298.47
2026-04-05,Affiliate,Retargeting,1759.32,64888,1227,162,43,20,8024.08
2026-04-06,Affiliate,Summer Sale,1906.63,39071,1887,244,37,15,3766.62
2026-04-06,Paid Social,New Product,3840.22,55473,2873,356,101,32,7762.66
2026-04-07,Email,Loyalty,755.54,48362,2309,222,45,20,8853.83
2026-04-09,Email,Brand,3190.9,116354,6919,602,144,55,20185.99
2026-04-10,Email,Loyalty,1108.84,116663,4759,637,222,120,57852.28
2026-04-11,Organic,Summer Sale,825.23,106791,1236,185,38,16,4176.25
2026-04-12,Email,Brand,1063.53,31584,1152,53,21,6,2239.68
2026-04-12,Organic,Brand,3275.22,10277,100,12,2,0,0.0
2026-04-13,Paid Social,Retargeting,3427.88,68274,2162,266,72,31,8482.36
2026-04-14,Affiliate,Retargeting,1951.44,26305,388,14,2,0,0.0
2026-04-15,Email,Retargeting,1787.81,11731,284,32,8,2,808.33
2026-04-15,Paid Social,Retargeting,2371.09,23097,1197,129,28,7,1984.45
2026-04-16,Affiliate,Brand,752.34,72950,3464,159,28,7,2126.97
2026-04-16,Paid Search,Summer Sale,2618.72,22981,347,47,16,4,920.38
2026-04-16,Paid Social,Brand,2594.37,84053,1138,131,44,19,5380.62
2026-04-18,Email,Loyalty,1147.18,56014,2367,229,64,13,5827.22
2026-04-18,Email,New Product,2694.69,22937,540,44,18,3,976.44
2026-04-18,Paid Search,Brand,1601.7,112821,1716,131,47,23,6105.44
2026-04-19,Organic,Retargeting,2828.16,101811,4459,694,234,88,31861.0
2026-04-19,Paid Search,Retargeting,3765.73,88157,1111,76,25,6,1807.31
2026-04-20,Affiliate,Summer Sale,3657.57,103679,3548,550,215,105,27303.66
2026-04-21,Affiliate,Loyalty,3046.58,60201,3129,407,140,71,32732.49
2026-04-21,Affiliate,Retargeting,2884.31,52024,2263,197,43,9,3485.21
2026-04-21,Organic,Summer Sale,3726.78,28978,244,41,9,3,663.51
2026-04-22,Affiliate,New Product,2410.01,16525,838,66,29,11,3503.08
2026-04-22,Paid Social,Loyalty,3927.35,43825,1406,72,23,7,2280.72
2026-04-22,Paid Social,Summer Sale,306.38,32889,764,50,16,4,714.37
2026-04-24,Affiliate,Retargeting,2356.56,66451,825,64,18,9,3343.78
2026-04-25,Email,Brand,3532.15,35525,504,29,12,4,1434.0
2026-04-25,Paid Search,Summer Sale,1432.99,66428,2497,183,58,12,2762.96
2026-04-25,Paid Social,Retargeting,1584.15,67198,643,58,22,10,3046.94
2026-04-26,Affiliate,Loyalty,2404.17,18711,394,43,17,7,2974.1
2026-04-28,Organic,New Product,491.61,94613,2170,80,27,7,2137.54
2026-04-29,Organic,Retargeting,2400.85,21522,546,69,24,9,3018.28
2026-04-30,Affiliate,New Product,3265.08,13141,549,72,23,5,1474.43
2026-04-30,Email,Retargeting,1101.26,9576,215,7,2,0,0.0
2026-04-30,Organic,New Product,1385.04,23889,318,25,5,2,608.84
2026-05-02,Affiliate,Brand,2314.61,47727,2075,227,66,31,9717.31
2026-05-02,Affiliate,Summer Sale,2278.61,8837,512,69,16,3,687.19
2026-05-03,Email,Brand,3371.67,20716,1145,168,63,23,8354.13
2026-05-03,Organic,New Product,3790.7,107842,5095,408,95,39,11995.35
2026-05-03,Paid Search,Retargeting,742.52,34052,1575,89,25,12,4076.11
2026-05-04,Paid Search,Brand,750.23,103952,862,51,19,7,2116.24
2026-05-06,Organic,Summer Sale,1897.91,86077,4179,412,83,30,7762.74
2026-05-06,Paid Social,Retargeting,681.27,10701,628,64,10,5,1547.92
2026-05-08,Email,New Product,1624.84,59895,3593,472,96,31,10019.65
2026-05-08,Organic,Retargeting,3671.38,11902,539,17,2,0,0.0
2026-05-09,Organic,Summer Sale,2449.17,85722,2941,228,36,9,2277.51
2026-05-10,Affiliate,Summer Sale,2668.63,18178,762,136,24,8,2081.18
2026-05-10,Email,Loyalty,1120.41,43411,449,25,5,1,470.8
2026-05-10,Email,Summer Sale,3933.27,49918,914,148,54,13,3296.99
2026-05-10,Paid Search,Summer Sale,1189.4,35947,1860,112,22,11,2493.27
2026-05-11,Paid Social,Retargeting,3679.24,80673,1854,123,21,8,2186.92
2026-05-12,Organic,Retargeting,438.33,6153,262,40,16,4,1522.31
2026-05-12,Organic,Summer Sale,7507.85,69996,3061,214,75,29,6599.43
2026-05-13,Affiliate,Brand,557.52,31823,1893,302,89,35,10872.73
2026-05-13,Affiliate,Loyalty,2660.87,59426,2988,167,40,12,5642.45
2026-05-13,Paid Search,New Product,1220.99,87662,3931,657,123,62,14540.58
2026-05-14,Paid Social,Summer Sale,1783.66,92587,2437,319,106,52,9577.15
2026-05-15,Paid Search,New Product,1158.34,14758,767,50,18,5,1285.04
2026-05-15,Paid Social,New Product,1226.91,103580,1162,83,36,8,1974.4
2026-05-16,Email,New Product,1062.56,65051,1286,149,27,10,3024.5
2026-05-16,Organic,New Product,1144.17,19292,378,19,8,1,269.38
2026-05-16,Paid Search,Brand,1861.41,99977,2015,327,126,42,12767.1
2026-05-17,Organic,Retargeting,1732.15,13578,787,73,30,11,4213.31
2026-05-17,Paid Search,New Product,607.04,31964,593,20,8,4,1008.15
2026-05-17,Paid Social,Loyalty,2140.08,119400,3687,211,31,14,4478.2
2026-05-19,Paid Search,Loyalty,581.92,20951,734,69,30,9,3071.28
2026-05-21,Paid Social,Brand,388.01,100990,2965,362,69,34,8439.22
2026-05-21,Paid Social,New Product,3643.79,104516,3281,167,34,7,1488.85
2026-05-21,Paid Social,Summer Sale,1994.3,50044,1133,77,28,11,2241.72
2026-05-22,Organic,New Product,3833.62,158704,6103,1006,254,55,14235.24
2026-05-22,Paid Search,Loyalty,3510.84,62669,2644,284,113,36,13625.23
2026-05-24,Email,Loyalty,3082.12,30273,345,26,5,1,501.77
2026-05-24,Organic,Retargeting,652.92,103939,1921,162,72,39,13871.45
2026-05-25,Email,New Product,3421.0,12019,299,15,5,1,302.67
2026-05-25,Paid Social,Summer Sale,325.07,19666,266,45,11,2,417.54
2026-05-27,Affiliate,Retargeting,3001.55,27503,428,31,9,4,1533.33
2026-05-27,Paid Social,Retargeting,3906.41,109498,5471,725,307,98,29470.33
2026-05-27,Paid Social,Summer Sale,3864.99,68794,1987,288,120,48,8749.36
2026-05-28,Organic,New Product,2772.14,23993,1397,66,28,7,1812.51
2026-05-29,Organic,Loyalty,3761.2,101144,3401,186,27,5,2279.58
2026-05-30,Paid Search,Brand,997.05,14437,607,40,7,1,282.1
2026-05-30,Paid Search,Loyalty,2425.06,11499,675,24,9,2,725.9
2026-05-30,Paid Social,Summer Sale,2637.85,64493,1966,135,48,24,4712.42
2026-06-02,Affiliate,Brand,1524.24,47816,1679,268,76,29,10061.39
2026-06-04,Affiliate,Brand,1703.41,11811,571,46,10,3,1099.85
2026-06-05,Paid Search,Brand,2145.34,26621,1261,66,19,4,1102.8
2026-06-05,Paid Search,New Product,3436.4,95786,3047,421,100,33,9022.54
2026-06-06,Affiliate,Summer Sale,2671.36,31370,1145,97,40,12,2736.64
2026-06-06,Paid Social,Summer Sale,3309.67,101976,5075,304,90,41,8157.88
2026-06-07,Email,Brand,1159.34,55048,1584,50,13,4,1511.44
2026-06-07,Paid Search,Retargeting,3036.46,95384,2332,166,25,11,3191.89
2026-06-07,Paid Search,Summer Sale,700.15,69470,1595,241,93,40,8018.51
2026-06-08,Paid Search,New Product,318.74,72976,3517,288,104,40,9916.93
2026-06-10,Paid Search,Summer Sale,1307.61,40505,2246,314,114,24,5667.39
2026-06-11,Paid Search,Loyalty,1813.61,27178,1174,62,27,13,5008.39
2026-06-11,Paid Social,Brand,1229.88,37565,1051,133,37,11,3136.38
2026-06-12,Paid Search,Brand,5054.61,96710,4820,577,124,38,11610.19
2026-06-13,Organic,Brand,258.69,105005,3442,553,127,33,10491.11
2026-06-13,Paid Social,Retargeting,1727.42,39634,2310,88,34,17,5156.87
2026-06-15,Paid Social,Brand,429.29,72342,3969,169,55,28,6638.69
2026-06-17,Paid Search,New Product,1430.89,38686,1094,94,24,8,1858.41
2026-06-17,Paid Social,Summer Sale,2118.0,5648,71,10,1,0,0.0
2026-06-18,Paid Social,Brand,2042.86,82217,1437,103,19,7,1945.84
2026-06-19,Paid Search,Retargeting,614.3,29575,343,32,9,1,298.16
2026-06-21,Affiliate,New Product,894.15,116371,1897,331,148,41,12128.18
2026-06-21,Paid Search,Loyalty,650.01,59924,1209,61,18,3,1158.04
2026-06-22,Organic,Brand,1177.57,92471,2780,237,70,31,10649.59
2026-06-22,Organic,Retargeting,2893.71,42426,1364,136,25,12,4286.61
2026-06-22,Paid Social,Retargeting,1518.6,7380,440,15,2,0,0.0
2026-06-23,Email,New Product,4569.62,166140,3811,437,83,20,6277.95
2026-06-23,Organic,Brand,758.29,80900,2212,259,71,27,8511.92
2026-06-23,Paid Search,New Product,2925.46,30572,1514,81,32,7,1817.6
2026-06-24,Paid Social,Brand,3181.54,113841,2747,336,88,37,10422.38
2026-06-25,Paid Search,Brand,1029.33,20905,307,10,3,0,0.0
2026-06-26,Email,Loyalty,3574.95,60166,2455,266,105,28,12841.96
2026-06-28,Affiliate,Brand,1007.51,92425,3784,468,94,40,12732.15
2026-06-28,Affiliate,Retargeting,3706.58,31553,1630,82,15,5,1927.91
2026-06-28,Email,Loyalty,1593.46,26894,712,45,14,5,2567.9
2026-06-29,Organic,Brand,2295.7,10183,82,4,1,0,0.0
2026-07-01,Paid Social,Retargeting,2428.28,6228,306,30,5,2,524.24
2026-07-02,Affiliate,Summer Sale,2633.23,117274,2292,207,83,40,10270.38
2026-07-02,Paid Social,Brand,318.41,22444,923,160,42,15,3657.47
2026-07-04,Affiliate,Brand,1947.95,94910,2693,149,65,25,8945.44
2026-07-05,Email,Brand,321.68,85050,4463,660,183,54,19118.19
2026-07-05,Organic,Loyalty,224.13,115681,3552,592,103,44,17163.75
2026-07-07,Email,Loyalty,503.88,103573,3542,307,133,32,16757.3
2026-07-09,Paid Social,New Product,1685.61,119219,4031,221,59,17,3642.1
2026-07-11,Paid Search,Summer Sale,1578.32,53058,3123,480,145,34,7027.8
2026-07-12,Organic,Brand,3039.7,48479,2858,327,59,21,6254.46
2026-07-12,Paid Search,Loyalty,547.58,116654,2573,375,99,42,14655.1
2026-07-13,Affiliate,Summer Sale,2948.68,37450,1707,205,52,14,3190.12
2026-07-15,Affiliate,Loyalty,3198.56,112263,2729,366,120,48,19285.72
2026-07-15,Email,Brand,3525.43,81693,3233,119,26,6,2064.32
2026-07-15,Email,New Product,767.96,99916,4013,207,82,36,10556.56
2026-07-16,Affiliate,Loyalty,646.3,57100,3315,383,105,49,22002.91
2026-07-18,Organic,Loyalty,2843.71,58038,1811,58,15,6,2611.08
2026-07-18,Organic,Retargeting,3182.56,32333,1778,264,52,26,8906.41
2026-07-19,Email,New Product,569.01,63571,3044,465,204,58,17996.16
2026-07-20,Paid Search,Loyalty,3194.68,114943,2694,280,59,13,4918.45
2026-07-21,Paid Social,Brand,519.43,40641,408,59,13,3,846.24
2026-07-22,Email,Brand,3243.13,99611,2847,256,111,50,19692.16
2026-07-22,Email,New Product,1184.86,95770,3779,308,120,54,15800.39
2026-07-24,Affiliate,New Product,1712.66,56658,758,94,15,3,825.82
2026-07-25,Affiliate,Retargeting,3504.32,100120,5889,910,300,92,32029.87
2026-07-25,Email,Summer Sale,1684.78,58080,1079,33,13,4,1048.66
2026-07-26,Affiliate,Retargeting,2140.98,63065,510,78,24,6,2236.41
2026-07-28,Paid Search,Retargeting,1754.18,53733,947,72,15,7,2168.07
2026-07-28,Paid Social,Retargeting,2730.94,113881,5759,877,254,76,19845.67
2026-07-29,Affiliate,Retargeting,1378.28,119071,4580,593,144,28,10029.9
2026-07-29,Email,Brand,1120.57,34043,606,67,29,9,3327.73
2026-07-29,Organic,Brand,3790.75,69799,2093,292,131,53,15608.87
2026-07-29,Paid Social,Summer Sale,1967.43,39736,1889,140,60,22,4618.35
