date,channel,campaign,spend,impressions,clicks,leads,opportunities,wins,revenue
2026-06-07,Paid Search,Retargeting,3036.46,95384,2332,166,25,11,71670.12
2026-06-12,Paid Search,Brand,3338.87,19058,623,108,47,15,39841.07
2026-04-21,Organic,Summer Sale,3726.78,28978,244,41,9,3,6232.89
2026-03-02,Email,Retargeting,1950.97,107738,5244,219,45,20,52687.67
2026-01-17,Paid Search,New Product,2299.86,47697,780,73,13,2,9645.38
2026-02-23,Paid Search,New Product,2094.21,98031,5739,321,60,21,133755.78
2026-03-02,Affiliate,Brand,3163.05,43525,1013,116,30,13,30618.93
2026-03-05,Paid Social,Summer Sale,1094.92,41877,2260,263,65,22,153036.46
2026-05-10,Affiliate,Summer Sale,2668.63,18178,762,136,24,8,47606.37
2026-04-25,Email,Brand,3532.15,35525,504,29,12,4,26380.03
2026-04-06,Affiliate,Summer Sale,1906.63,39071,1887,244,37,15,79744.43
2026-03-31,Paid Social,Brand,1601.09,23529,242,43,6,2,13001.88
2026-07-28,Paid Search,Retargeting,1754.18,53733,947,72,15,7,30650.62
2026-01-17,Organic,Brand,3224.21,92035,3369,424,75,19,99433.73
2026-04-15,Email,Retargeting,1787.81,11731,284,32,8,2,12425.26
2026-07-25,Email,Summer Sale,1684.78,58080,1079,33,13,4,23832.55
2026-04-14,Affiliate,Retargeting,1951.44,26305,388,14,2,0,0.0
2026-05-27,Affiliate,Retargeting,3001.55,27503,428,31,9,4,7323.99
2026-05-06,Paid Social,Retargeting,681.27,10701,628,64,10,5,17248.96
2026-07-02,Affiliate,Summer Sale,2633.23,117274,2292,207,83,40,90448.01
2026-02-25,Paid Search,New Product,3766.49,25510,712,34,7,3,19212.93
2026-01-11,Affiliate,Brand,2738.01,47493,670,80,25,10,29760.42
2026-04-18,Email,Loyalty,1147.18,56014,2367,229,64,13,62264.45
2026-05-06,Organic,Summer Sale,1897.91,86077,4179,412,83,30,54631.24
2026-02-02,Email,New Product,1588.26,110156,3412,363,58,24,40247.95
2026-07-07,Email,Loyalty,503.88,103573,3542,307,133,32,197472.21
2026-06-07,Paid Search,Summer Sale,700.15,69470,1595,241,93,40,215290.4
2026-02-26,Paid Search,Retargeting,2519.69,38059,618,101,23,11,22359.91
2026-05-09,Organic,Summer Sale,2449.17,85722,2941,228,36,9,19216.17
2026-03-13,Email,New Product,841.22,107874,2345,340,55,27,183699.86
2026-04-26,Affiliate,Loyalty,2404.17,18711,394,43,17,7,23481.53
2026-04-07,Email,Loyalty,755.54,48362,2309,222,45,20,29601.81
2026-07-29,Affiliate,Retargeting,1378.28,119071,4580,593,144,28,39088.01
2026-02-08,Email,Loyalty,2577.35,59747,2070,340,64,17,84796.49
2026-01-06,Paid Search,Brand,2355.06,44811,606,50,10,4,18466.93
2026-02-22,Email,Loyalty,3348.19,25791,387,65,14,3,5267.0
2026-06-13,Paid Social,Retargeting,1727.42,39634,2310,88,34,17,79039.81
2026-05-29,Organic,Loyalty,3761.2,101144,3401,186,27,5,6731.53
2026-02-17,Paid Social,Summer Sale,421.84,107088,1440,175,60,16,57542.94
2026-05-13,Affiliate,Loyalty,2660.87,59426,2988,167,40,12,17774.96
2026-07-05,Organic,Loyalty,224.13,115681,3552,592,103,44,97559.97
2026-01-27,Email,Summer Sale,2647.28,21156,538,76,27,13,69260.99
2026-03-10,Affiliate,New Product,2805.79,73582,4307,320,137,70,118680.97
2026-05-10,Paid Search,Summer Sale,1189.4,35947,1860,112,22,11,25445.58
2026-04-10,Email,Loyalty,1108.84,116663,4759,637,222,120,470767.09
2026-05-16,Paid Search,Brand,1861.41,99977,2015,327,126,42,192986.95
2026-05-25,Paid Social,Summer Sale,325.07,19666,266,45,11,2,2733.3
2026-01-11,Paid Social,Brand,2848.63,101571,1059,167,63,16,107784.07
2026-05-17,Paid Search,New Product,607.04,31964,593,20,8,4,22287.13
2026-01-23,Email,New Product,579.53,17826,876,111,26,8,21717.81
2026-03-31,Email,Retargeting,383.95,104595,2838,221,97,36,220967.59
2026-06-08,Paid Search,New Product,318.74,72976,3517,288,104,40,98245.23
2026-01-24,Affiliate,Retargeting,847.41,5170,182,13,4,0,0.0
2026-01-25,Organic,Summer Sale,3875.19,82667,2153,333,75,39,110979.67
2026-02-24,Paid Social,New Product,830.01,88431,4233,438,195,77,139095.56
2026-03-25,Email,Brand,1724.83,56720,3084,437,120,51,171222.81
2026-03-19,Email,New Product,3624.62,70691,1194,211,71,37,71628.56
2026-06-02,Affiliate,Brand,1524.24,47816,1679,268,76,29,89184.76
2026-04-29,Organic,Retargeting,2400.85,21522,546,69,24,9,24762.6
2026-07-13,Affiliate,Summer Sale,2948.68,37450,1707,205,52,14,94410.41
2026-03-08,Paid Search,Summer Sale,3857.07,18321,332,17,3,0,0.0
2026-03-12,Paid Social,Brand,2624.33,19007,429,69,19,3,18465.3
2026-04-22,Paid Social,Loyalty,3927.35,43825,1406,72,23,7,38482.4
2026-04-21,Affiliate,Loyalty,3046.58,60201,3129,407,140,71,349448.91
2026-05-30,Paid Social,Summer Sale,2637.85,64493,1966,135,48,24,62541.54
2026-04-13,Paid Social,Retargeting,3427.88,68274,2162,266,72,31,204449.49
2026-02-16,Email,Brand,1677.09,69204,3821,175,39,10,53540.53
2026-02-21,Affiliate,Retargeting,584.13,80308,2550,154,45,9,52171.99
2026-04-05,Affiliate,Retargeting,1759.32,64888,1227,162,43,20,38197.78
2026-06-07,Email,Brand,1159.34,55048,1584,50,13,4,20999.46
2026-04-01,Affiliate,Retargeting,615.18,44779,2084,356,109,30,175458.8
2026-04-11,Organic,Summer Sale,825.23,106791,1236,185,38,16,86081.4
2026-07-28,Paid Social,Retargeting,2730.94,113881,5759,877,254,76,332876.41
2026-02-02,Organic,Retargeting,3177.66,35206,771,66,14,4,9112.64
2026-01-01,Email,Retargeting,1130.88,44560,1098,112,37,8,51221.43
2026-02-09,Email,New Product,416.84,113514,4240,333,144,55,176102.92
2026-05-30,Paid Search,Brand,997.05,14437,607,40,7,1,2555.12
2026-07-18,Organic,Retargeting,3182.56,32333,1778,264,52,26,122941.77
2026-07-20,Paid Search,Loyalty,3194.68,114943,2694,280,59,13,78881.65
2026-06-21,Paid Search,Loyalty,650.01,59924,1209,61,18,3,11727.44
2026-02-06,Organic,Summer Sale,2093.07,75718,2966,415,82,25,130903.41
2026-05-08,Email,New Product,1624.84,59895,3593,472,96,31,153444.57
2026-01-06,Affiliate,Brand,2793.83,48313,2417,106,31,14,28532.54
2026-02-24,Organic,Summer Sale,1486.7,117943,4985,404,154,60,389491.59
2026-03-14,Organic,Retargeting,1805.08,77617,833,61,15,5,15677.93
2026-03-11,Affiliate,Retargeting,3904.98,90794,3050,145,30,13,25218.83
2026-06-12,Paid Search,Brand,1715.74,77652,4197,469,77,23,28428.5
2026-02-18,Organic,Loyalty,3110.74,12883,631,105,35,14,67697.32
2026-06-28,Affiliate,Brand,1007.51,92425,3784,468,94,40,249655.76
2026-04-18,Paid Search,Brand,1601.7,112821,1716,131,47,23,52249.16
2026-01-09,Email,Brand,1836.57,89117,3392,566,169,64,382949.52
2026-07-18,Organic,Loyalty,2843.71,58038,1811,58,15,6,39832.64
2026-02-09,Organic,New Product,2285.46,15869,658,40,7,1,1227.74
2026-06-25,Paid Search,Brand,1029.33,20905,307,10,3,0,0.0
2026-02-17,Paid Search,Retargeting,3141.29,98526,4348,224,84,25,110835.89
2026-05-08,Organic,Retargeting,3671.38,11902,539,17,2,0,0.0
2026-01-21,Organic,Retargeting,1387.48,83658,1391,221,65,14,46646.33
2026-05-28,Organic,New Product,2772.14,23993,1397,66,28,7,40955.05
2026-05-03,Organic,New Product,3790.7,107842,5095,408,95,39,194044.22
2026-07-25,Affiliate,Retargeting,3504.32,100120,5889,910,300,92,339080.61
2026-03-05,Organic,New Product,2802.32,83876,4035,262,74,32,98075.2
2026-03-10,Organic,Summer Sale,2429.24,111952,5339,787,186,46,292815.41
2026-05-27,Paid Social,Retargeting,3906.41,109498,5471,725,307,98,165950.13
2026-05-22,Organic,New Product,961.64,103328,4706,834,202,44,153730.56
2026-07-01,Paid Social,Retargeting,2428.28,6228,306,30,5,2,11357.13
2026-03-01,Organic,Loyalty,2179.95,39018,2107,228,66,26,59724.03
2026-02-19,Paid Search,Summer Sale,3262.29,42984,1154,132,35,13,26835.28
2026-01-12,Organic,Retargeting,3492.21,53715,2197,325,63,25,80013.64
2026-05-13,Affiliate,Brand,557.52,31823,1893,302,89,35,95104.17
2026-07-19,Email,New Product,569.01,63571,3044,465,204,58,82339.64
2026-02-21,Paid Social,New Product,517.89,11684,114,9,3,1,6104.51
2026-01-17,Affiliate,New Product,3704.19,97586,5648,387,123,52,350856.28
2026-06-21,Affiliate,New Product,894.15,116371,1897,331,148,41,58386.61
2026-03-07,Email,Brand,3630.47,8641,445,16,6,2,9901.57
2026-05-04,Paid Search,Brand,750.23,103952,862,51,19,7,26315.97
2026-06-17,Paid Search,New Product,1430.89,38686,1094,94,24,8,47070.51
2026-06-23,Paid Search,New Product,2925.46,30572,1514,81,32,7,33517.34
2026-04-06,Paid Social,New Product,3840.22,55473,2873,356,101,32,191160.09
2026-05-03,Paid Search,Retargeting,742.52,34052,1575,89,25,12,44952.38
2026-02-08,Email,New Product,1764.77,25406,236,27,6,2,5423.8
2026-01-28,Email,New Product,3632.04,19964,318,34,11,5,32831.62
2026-05-24,Organic,Retargeting,652.92,103939,1921,162,72,39,256053.04
2026-01-25,Organic,Retargeting,1779.42,26259,288,40,9,4,5171.86
2026-07-26,Affiliate,Retargeting,2140.98,63065,510,78,24,6,22346.68
2026-04-15,Paid Social,Retargeting,2371.09,23097,1197,129,28,7,32786.47
2026-01-23,Affiliate,New Product,3092.86,27979,523,63,22,10,45810.12
2026-02-21,Paid Search,Brand,2830.52,73100,2136,295,49,23,72318.27
2026-06-13,Organic,Brand,258.69,105005,3442,553,127,33,198772.61
2026-04-04,Paid Search,Summer Sale,2868.58,80355,3128,96,29,10,41906.27
2026-01-31,Email,Summer Sale,3302.83,118439,6567,964,395,158,1012566.13
2026-03-16,Paid Search,New Product,1896.47,8360,297,32,4,2,4994.91
2026-02-16,Paid Social,Brand,1385.27,77792,3927,135,24,10,23314.93
2026-01-05,Affiliate,Loyalty,1962.97,36243,1614,73,29,13,19005.86
2026-02-01,Organic,New Product,2426.43,104812,2362,114,30,7,32427.57
2026-02-28,Paid Social,Loyalty,1955.81,56984,942,144,62,20,72776.15
2026-06-04,Affiliate,Brand,1703.41,11811,571,46,10,3,11179.12
2026-05-25,Email,New Product,3421.0,12019,299,15,5,1,6248.88
2026-06-19,Paid Search,Retargeting,614.3,29575,343,32,9,1,2008.56
2026-04-12,Organic,Brand,3275.22,10277,100,12,2,0,0.0
2026-05-19,Paid Search,Loyalty,581.92,20951,734,69,30,9,26742.49
2026-06-15,Paid Social,Brand,429.29,72342,3969,169,55,28,105052.29
2026-05-11,Paid Social,Retargeting,3679.24,80673,1854,123,21,8,48564.27
2026-06-06,Affiliate,Summer Sale,2671.36,31370,1145,97,40,12,47658.77
2026-07-29,Email,Brand,1120.57,34043,606,67,29,9,59042.82
2026-02-11,Paid Social,Retargeting,2315.28,69409,1529,247,53,11,14589.93
2026-05-22,Paid Search,Loyalty,3510.84,62669,2644,284,113,36,202482.19
2026-05-14,Paid Social,Summer Sale,1783.66,92587,2437,319,106,52,310072.0
2026-05-13,Paid Search,New Product,1220.99,87662,3931,657,123,62,75954.84
2026-07-16,Affiliate,Loyalty,646.3,57100,3315,383,105,49,306838.75
2026-06-05,Paid Search,New Product,3436.4,95786,3047,421,100,33,145894.31
2026-04-09,Email,Brand,3190.9,116354,6919,602,144,55,322141.89
2026-04-22,Affiliate,New Product,2410.01,16525,838,66,29,11,28681.25
2026-03-25,Paid Social,New Product,3586.76,6401,59,4,1,0,0.0
2026-03-21,Affiliate,Loyalty,3993.64,72822,3709,515,143,51,73242.59
2026-06-23,Email,New Product,3802.02,93667,1081,69,18,6,29769.06
2026-05-27,Paid Social,Summer Sale,3864.99,68794,1987,288,120,48,250135.35
2026-07-11,Paid Search,Summer Sale,1578.32,53058,3123,480,145,34,217197.58
2026-06-26,Email,Loyalty,3574.95,60166,2455,266,105,28,178646.13
2026-04-16,Paid Social,Brand,2594.37,84053,1138,131,44,19,99029.65
2026-01-03,Paid Search,Retargeting,2900.42,77473,635,48,19,7,35525.12
2026-02-20,Paid Social,New Product,3122.07,79321,1731,219,67,36,163148.86
2026-04-16,Affiliate,Brand,752.34,72950,3464,159,28,7,29613.3
2026-04-30,Affiliate,New Product,3265.08,13141,549,72,23,5,12909.62
2026-03-12,Paid Social,Brand,1213.12,18035,950,163,27,7,33734.51
2026-01-06,Paid Search,Summer Sale,3584.05,81370,3883,142,23,6,14956.9
2026-02-10,Affiliate,Summer Sale,1396.22,118637,5982,451,149,79,321861.87
2026-01-18,Paid Social,New Product,2764.66,81653,1593,121,49,18,104363.77
2026-03-04,Paid Search,Summer Sale,845.71,54677,967,169,40,15,27995.11
2026-05-17,Organic,Retargeting,1732.15,13578,787,73,30,11,37913.8
2026-04-30,Email,Retargeting,1101.26,9576,215,7,2,0,0.0
2026-02-20,Email,Loyalty,3373.03,21750,801,80,31,8,26671.36
2026-02-25,Organic,New Product,2591.51,81119,1526,263,79,22,84163.52
2026-02-03,Email,Loyalty,3618.55,82013,4878,537,145,54,104111.82
2026-07-12,Paid Search,Loyalty,547.58,116654,2573,375,99,42,188687.09
2026-03-21,Paid Search,New Product,2900.68,96050,1652,260,64,27,49463.34
2026-05-24,Email,Loyalty,3082.12,30273,345,26,5,1,5356.81
2026-03-14,Email,New Product,3408.58,65878,3181,516,210,51,142994.92
2026-01-08,Email,Retargeting,3608.39,8311,351,47,10,4,12969.03
2026-06-10,Paid Search,Summer Sale,1307.61,40505,2246,314,114,24,34367.8
2026-02-11,Organic,Summer Sale,3076.45,25472,708,25,6,2,4484.19
2026-02-28,Affiliate,New Product,2923.21,38385,2154,281,90,47,86896.34
2026-07-15,Email,Brand,3525.43,81693,3233,119,26,6,34742.03
2026-02-23,Email,Brand,1785.5,102508,2918,414,165,49,84359.12
2026-04-19,Organic,Retargeting,2828.16,101811,4459,694,234,88,450930.52
2026-02-22,Organic,Loyalty,3416.94,107006,1566,225,36,16,93972.07
2026-03-08,Paid Social,Loyalty,822.05,107348,4417,492,110,24,78609.35
2026-04-16,Paid Search,Summer Sale,2618.72,22981,347,47,16,4,10407.71
2026-05-12,Organic,Summer Sale,3756.21,51066,2262,113,40,16,41543.55
2026-06-11,Paid Search,Loyalty,1813.61,27178,1174,62,27,13,46219.85
2026-02-22,Paid Search,Retargeting,247.01,68780,1288,50,11,2,10538.84
2026-04-25,Paid Search,Summer Sale,1432.99,66428,2497,183,58,12,47008.41
2026-07-12,Organic,Brand,3039.7,48479,2858,327,59,21,78090.47
2026-02-18,Affiliate,Retargeting,231.55,16923,702,87,37,15,39872.85
2026-03-04,Paid Search,Summer Sale,3040.3,8315,401,62,14,3,14702.96
2026-06-24,Paid Social,Brand,3181.54,113841,2747,336,88,37,120850.56
2026-02-28,Email,Summer Sale,2294.31,53401,2753,187,31,7,40993.06
2026-07-29,Organic,Brand,3790.75,69799,2093,292,131,53,256184.3
2026-02-06,Paid Social,Summer Sale,725.54,88460,5168,224,36,12,27680.67
2026-07-05,Email,Brand,321.68,85050,4463,660,183,54,272020.98
2026-05-12,Organic,Retargeting,438.33,6153,262,40,16,4,11661.18
2026-04-24,Affiliate,Retargeting,2356.56,66451,825,64,18,9,58234.48
2026-02-09,Organic,Loyalty,2555.5,111318,5577,771,192,82,367125.07
2026-04-18,Email,New Product,2694.69,22937,540,44,18,3,6885.9
2026-06-23,Organic,Brand,758.29,80900,2212,259,71,27,120850.03
2026-04-12,Email,Brand,1063.53,31584,1152,53,21,6,10504.77
2026-05-16,Email,New Product,1062.56,65051,1286,149,27,10,46130.44
2026-01-21,Organic,Brand,3241.27,22600,1195,134,48,22,41024.67
2026-07-04,Affiliate,Brand,1947.95,94910,2693,149,65,25,142372.1
2026-02-05,Email,Loyalty,418.71,36051,376,13,4,2,7732.59
2026-01-31,Paid Social,New Product,3652.43,16495,664,106,33,17,106258.36
2026-02-13,Email,Retargeting,3255.62,101478,4402,677,126,41,224517.9
